1	1	L1
1	2	L2
1	3	L3
1	4	L4
1	5	L5
1	6	L6
1	7	L7
1	8	L8
1	9	L9
1	10	L10
1	11	L11
1	12	L12
1	13	L13
1	14	L14
1	15	L15
1	16	L16
1	17	R1
1	18	R2
1	19	R3
1	20	R4
1	21	R5
1	22	R6
1	23	R7
1	24	R8
1	25	R9
1	26	R10
1	27	R11
1	28	R12
1	29	R13
1	30	R14
1	31	R15
1	32	R16
2	1	CC1
2	2	CC2
2	3	null
2	4	null
2	5	null
2	6	null
2	7	null
2	8	null
2	9	null
2	10	null
2	11	null
2	12	null
2	13	null
2	14	null
2	15	null
2	16	null
2	17	null
2	18	null
2	19	null
2	20	null
2	21	null
2	22	null
2	23	null
2	24	null
2	25	null
2	26	null
2	27	null
2	28	null
2	29	null
2	30	null
2	31	null
2	32	null
3	1	null
3	2	null
3	3	null
3	4	null
3	5	null
3	6	null
3	7	null
3	8	null
3	9	null
3	10	null
3	11	null
3	12	null
3	13	null
3	14	null
3	15	null
3	16	null
3	17	null
3	18	null
3	19	null
3	20	null
3	21	null
3	22	null
3	23	null
3	24	null
3	25	null
3	26	null
3	27	null
3	28	null
3	29	null
3	30	null
3	31	null
3	32	null
4	1	null
4	2	null
4	3	null
4	4	null
4	5	null
4	6	null
4	7	null
4	8	null
4	9	null
4	10	null
4	11	null
4	12	null
4	13	null
4	14	null
4	15	null
4	16	null
4	17	null
4	18	null
4	19	null
4	20	null
4	21	null
4	22	null
4	23	null
4	24	null
4	25	null
4	26	null
4	27	null
4	28	null
4	29	null
4	30	null
4	31	null
4	32	null
